HANDLE,REF,PLTG,OWNR,MP,ADRES,LOC,BLNK,LWSTPWR,TRFCCRCT,STLT,PWRFBR,UKNCM,UNKCM1,UNKCM2,CATV,CATV1,UNKCM3,UKNCM4,TELCO,TELCO1,TELCO2,TELCO3,UKN,UKN1,COMNTS,TYPE
107,,53DC/2-10,OEC,,,,,neu 24 4,,,,,,,21 8,,,,,,,,,,,JNTTRANS
108,,53DC/1-2,OEC,,43205,,,neu 25 8,,,,,,,20 3,,,,,,,,,,,JNTPL
109,,53DC/1-1,OEC,,,,,neu 26 4,,,,,,,21 4,,,,,,,,,,,JNTPL
110,,53DC/2-11,OEC,,43317,,,dL 22 9,,,,,,,18 4,,,,,,,,,,,JNTTRANS
111,,NT,OEC,,,,,neu 26 11,,,,,,,21 2,,,,,,,,,,,JNTPL
112,,53DC/1-7,OEC,,43099,,,neu 25 5,,,,,,,20 9,,,,,,,,,,,JNTPL
113,,53DC/1-6,OEC,,43155,,,neu 26 8,,,,,,,20 2,,,,,,,,,,,JNTPL
114,,53DC/1-3,OEC,,43205,,,neu 25 9,,,,,,,20 4,,,,,,,,,,,JNTPL
130,,53DC/1-13,OEC,,w of Nickle Plate Diagonal Rd,,,neu 28 7,,24,,,,,22 9,,,,,,,,,,,JNTPL
131,,53DC/1-8,OEC,,,,,neu 24,,,,,,,20 9,,,,,,,,,,,JNTPL
132,,53DC/1-28,OEC,,,,,neu 24 4,,,,,,,21 2,,,,,,,,,,,JNTPL
133,,53DC/1-27,OEC,,e of nickel plate diagonal rd,,,dL 24 3,,,,,,,20 7,,,,,,,,,,,JNTTRANS
135,,53DC/1-29,OEC,,42827,,,dL 23 3,,,,,,,19 3,,,,,,,,,,,JNTTRANS
136,,53DC/1-31,OEC,,,,,neu 24 8,,,,,,,21 5,,,,,,,,,,,JNTPL
137,,53DC/1-30,OEC,,,,,neu 23 5,,,,,,,20,,,,,,,,,,,JNTPL
138,,53DB/2-4,OEC,,,,,neu 21 10,,,,,,,18 4,,,,,,,,,,,JNTPL
139,,53DB/2-3,OEC,,,,,neu 24 2,,,,,,,20 8,,,,,,,,,,,JNTPL
140,,53DB/2-2,OEC,,,,,neu 24 2,,,,,,,20 7,,,,,,,,,,,JNTPL
142,,NT,OEC,,,,,neu 25 5,,,,,,,22 3,,,,,,,,,,,JNTPL
143,,NT,OEC,,,,,neu 24 9,,,,,,,21 2,,,,,,,,,,,JNTPL
144,,53DB/2-10,OEC,,RLCWA,,,neu 24 9,,,,,,,22,,,,,,,,,,,JNTPL
145,,53DB/2-9,OEC,,RLCWA,,,neu 25,,,,,,,21 7,,,,,,,,,,,JNTPL
146,,53DB/2-7,OEC,,42537,,dL 20 10,neu 21 10,,,,,,,18 5,,,,,,,,,,,JNTTRANS
147,,53DB/2-5,OEC,,,,neu 23 11,dL 22 4,,,,,,,20 6,,,,,,,,,,,JNTTRANS
148,,53DB/1-13,OEC,,42251,,,dL 34 10,,,,,,,21 4,,,,,,,,,,,JNTTRANS
149,,53DB/2-18,OEC,,42251,,,neu 29 8,,,,,,,22 1,,,,,,,,,,,JNTPL
150,,53DB/2-17,OEC,,42251,,,neu 25,,,,,,,21 8,,,,,,,,,,,JNTPL
151,,53DB/1-11,OEC,,42251,,,dL 23 2,,,,,,,20 5,,,,,,,,,,,JNTTRANS
152,,53DB/1-12,OEC,,42251,,,neu 28 3,,,,,,,21 6,,,,,,,,,,,JNTPL
153,,NT,OEC,,,,,neu 24 10,,,,,,,21,,,,,,,,,,,JNTPL
154,,53DB/1-10,OEC,,42105,,neu 23 11,dL 22 6,,,,,,,19 11,,,,,,,,,,,JNTTRANS
156,,53DB/1-7,OEC,,w of whitehead rd,,,sec dL  26 9,,24 7,,,,,23 8,,,,,,,,,,,JNTPL
157,,53DB/1-8,OEC,,42023,,,dL  29 5,,,,,,,24 7,,,,,,,,,,,JNTTRANS
158,,53DB/1-30,OEC,,,,,neu 26,,,,,,,21 3,,,,,,,,,,,JNTPL
159,,53DB/1-28,OEC,,,,,dL 24 1,,,,,,,21 6,,,,,,,,,,,JNTTRANS
160,,53DB/1-32,OEC,,,,,neu 26 7,,,,,,,21 10,,,,,,,,,,,JNTPL
161,,53DB/1-31,OEC,,,,,neu 24 9,,,,,,,22 1,,,,,,,,,,,JNTPL
162,,53DA/2-1,OEC,,,,,neu 26 7,,,,,,,21 11,,,,,,,,,,,JNTPL
